gsl_word,gsl_head
admires,admire
admiring,admire
admired,admire
admiration,admire
gentleness,gentle
gently,gentle
particles,particle
unpleasant,pleasant
bays,bay
cups,cup
competitions,competition
moons,moon
terribly,terrible
mechanics,mechanic
mechanical,mechanic
mechanically,mechanic
shocks,shock
shocked,shock
shocking,shock
conversational,conversation
angles,angle
plentiful,plenty
stars,star
yellowness,yellow
sickness,sick
thoroughly,thorough
absolutely,absolute
succeeds,succeed
succeeded,succeed
succeeding,succeed
successful,succeed
successfully,succeed
surrounds,surround
surrounded,surround
surrounding,surround
surroundings,surround
proudly,proud
dearly,dear
cards,card
lakes,lake
shoes,shoe
shoed,shoe
chains,chain
slides,slide
slid,slide
sliding,slide
copies,copy
copying,copy
copied,copy
wakes,wake
woke,wake
waking,wake
pockets,pocket
bones,bone
honestly,honest
freezes,freeze
froze,freeze
freezing,freeze
dictionaries,dictionary
calmly,calm
calmness,calm
swims,swim
swam,swim
swum,swim
swimming,swim
icy,ice
males,male
skins,skin
cracks,crack
cracking,crack
cracked,crack
rushes,rush
rushed,rush
rushing,rush
joints,joint
jointly,joint
gifts,gift
hosts,host
hostess,host
suspects,suspect
suspected,suspect
suspecting,suspect
paths,path
uncles,uncle
affords,afford
affording,afford
afforded,afford
instantly,instant
tracks,track
tracked,track
tracking,track
grassy,grass
suggestions,suggestion
favourites,favourite
entrances,entrance
marches,march
marching,march
marched,march
sinks,sink
northerly,northern
illness,ill
bags,bag
disturbs,disturb
disturbed,disturb
disturbing,disturb
disturbance,disturb
natives,native
bedrooms,bedroom
violently,violent
pauses,pause
substances,substance
threats,threat
charms,charm
charmed,charm
charming,charm
factories,factory
meals,meal
universals,universal
accidents,accident
accidental,accident
accidentally,accident
highways,highway
sentences,sentence
wisely,wise
noises,noise
noisy,noise
discoveries,discovery
tubes,tube
flashes,flash
flashed,flash
flashing,flash
twists,twist
twisted,twist
twisting,twist
fences,fence
joyful,joy
sisters,sister
sadly,sad
sadness,sad
disappears,disappear
disappeared,disappear
disappearing,disappear
defeats,defeat
defeated,defeat
defeating,defeat
extensively,extensive
rents,rent
renting,rent
rented,rent
comparisons,comparison
possesses,possess
possessed,possess
possessing,possess
graceful,grace
scientists,scientist
eases,ease
easing,ease
eased,ease
milky,milk
sympathise,sympathy
sympathises,sympathy
ranks,rank
restaurants,restaurant
frequencies,frequency
shades,shade
shady,shade
accuses,accuse
accused,accuse
accusing,accuse
necessities,necessity
knocks,knock
knocked,knock
knocking,knock
loudly,loud
permanently,permanent
impermanent,permanent
rows,row
rowed,row
rowing,row
confuses,confuse
confused,confuse
confusing,confuse
frightens,frighten
frightened,frighten
frightening,frighten
solves,solve
solved,solve
solving,solve
graves,grave
gravestone,grave
salaries,salary
salaried,salary
photographic,photograph
wounds,wound
wounding,wound
wounded,wound
virtuous,virtue
daring,dare
queens,queen
attracts,attract
attracted,attract
attracting,attract
gates,gate
gateway,gate
shuts,shut
shutting,shut
chickens,chicken
forgives,forgive
forgave,forgive
forgiveness,forgive
holiness,holy
promptly,prompt
promptness,prompt
crimes,crime
sorrowful,sorry
sorrowfully,sorry
republics,republic
visitors,visitor
piles,pile
wings,wing
stairs,stair
staircase,stair
partners,partner
delays,delay
delayed,delay
delaying,delay
gentlemen,gentleman
pours,pour
poured,pour
pouring,pour
damaged,damage
kicks,kick
kicked,kick
kicking,kick
bursts,burst
networks,network
networked,network
networking,network
screws,screw
screwed,screw
screwing,screw
hires,hire
hired,hire
hiring,hire
verbs,verb
preaches,preach
preached,preach
preaching,preach
preacher,preach
clerks,clerk
fans,fan
connects,connect
connecting,connect
connected,connect
eggs,egg
efficiently,efficient
grains,grain
calculates,calculate
calculated,calculate
calculating,calculate
drags,drag
dragged,drag
dragging,drag
worships,worship
worshipped,worship
worshipping,worship
arrested,arrest
arrests,arrest
arresting,arrest
disciplines,discipline
strings,string
harbours,harbour
harbor,harbour
harbors,harbour
cameras,camera
mechanisms,mechanism
cows,cow
reductions,reduction
strictly,strict
lessons,lesson
tightly,tight
sandbank,sand
sandhill,sand
sandy,sand
plates,plate
qualifies,qualify
qualified,qualify
qualifying,qualify
madly,mad
madman,mad
madmen,mad
madness,mad
pupils,pupil
folds,fold
folded,fold
folding,fold
royals,royal
valuables,valuable
whispers,whisper
whispering,whisper
whispered,whisper
hurts,hurt
hurting,hurt
quantities,quantity
muddy,mud
extensions,extension
kisses,kiss
kissed,kiss
kissing,kiss
crops,crop
sails,sail
sailed,sail
sailing,sail
habits,habit
relieves,relieve
relieved,relieve
relieving,relieve
persuades,persuade
persuaded,persuade
persuading,persuade
uncertainty,certainty
cloths,cloth
eagerly,eager
deserves,deserve
deserved,deserve
deserving,deserve
sympathetically,sympathetic
cures,cure
cured,cure
curing,cure
traps,trap
trapped,trap
trapping,trap
trapper,trap
puzzles,puzzle
puzzled,puzzle
puzzling,puzzle
powdery,powder
rawness,raw
gladly,glad
blames,blame
blamed,blame
blaming,blame
buses,bus
trembles,tremble
fortunately,fortunate
glorious,glory
gloriously,glory
neatly,neat
neatness,neat
weekends,weekend
overcomes,overcome
overcame,overcome
overcoming,overcome
cats,cat
sacrifices,sacrifice
complains,complain
complained,complain
complaining,complain
elects,elect
elected,elect
electing,elect
roars,roar
roared,roar
roaring,roar
temples,temple
competes,compete
competed,compete
competing,compete
nurses,nurse
stomachs,stomach
peculiarly,peculiar
repairs,repair
repaired,repair
repairing,repair
storms,storm
stormy,storm
deserts,desert
deserted,desert
servants,servant
hungry,hunger
crashes,crash
crashed,crash
crashing,crash
tips,tip
tipped,tip
tipping,tip
strengthens,strengthen
strengthened,strengthen
strengthening,strengthen
proofs,proof
generosity,generous
generously,generous
whips,whip
tongues,tongue
mills,mill
miller,mill
merchants,merchant
ruins,ruin
introductions,introduction
courageous,courage
actors,actor
belts,belt
stirs,stir
stirred,stir
stirring,stir
punishes,punish
punished,punish
punishing,punish
punishment,punish
reflections,reflection
breathing,breathe
amuses,amuse
amused,amuse
amusing,amuse
amusement,amuse
dullness,dull
nets,net
fellowships,fellowship
faultless,fault
faulty,fault
beams,beam
pencils,pencil
borders,border
disappoints,disappoint
disappointed,disappoint
disappointing,disappoint
disappointment,disappoint
flames,flame
flaming,flame
jokes,joke
blesses,bless
blessing,bless
blessed,bless
shells,shell
tempts,tempt
tempter,tempt
temptation,tempt
suppers,supper
dives,dive
diving,dive
diver,dive
shines,shine
shone,shine
shining,shine
cheaply,cheap
dishes,dish
distantly,distant
greeting,greet
floods,flood
excuses,excuse
insects,insect
oceans,ocean
ceremonies,ceremony
ceremonial,ceremony
ceremonious,ceremony
decreases,decrease
decreased,decrease
decreasing,decrease
prizes,prize
harmful,harm
harmless,harm
insures,insure
insured,insure
insuring,insure
verses,verse
pots,pot
sincerely,sincere
leafless,leaf
leafy,leaf
rubs,rub
rubbed,rub
rubbing,rub
medicines,medicine
strokes,stroke
bites,bite
lungs,lung
loneliness,lonely
admissions,admission
stupidity,stupid
stupidly,stupid
scratches,scratch
scratched,scratch
scratching,scratch
compositions,composition
drums,drum
resists,resist
resisting,resist
resisted,resist
neglects,neglect
neglected,neglect
passengers,passenger
adventures,adventure
begs,beg
begging,beg
begged,beg
beggar,beg
pipes,pipe
beards,beard
boldly,bold
devils,devil
cheerful,cheer
cheerfully,cheer
nuts,nut
splits,split
splitting,split
melts,melt
melted,melt
melting,melt
swears,swear
swearing,swear
swore,swear
sworn,swear
buries,bury
buried,bury
burying,bury
burial,bury
wipes,wipe
wiped,wipe
wiping,wipe
faints,faint
fainted,faint
fainting,faint
faintly,faint
faintness,faint
creatures,creature
tails,tail
wealthy,wealth
translates,translate
translated,translate
translating,translate
suspicions,suspicion
nobleman,noble
nobleness,noble
nobly,noble
inquiries,inquiry
journeys,journey
hesitates,hesitate
hesitated,hesitate
hesitating,hesitate
extraordinarily,extraordinary
borrows,borrow
borrowed,borrow
borrowing,borrow
owes,owe
owed,owe
owing,owe
funerals,funeral
ambitions,ambition
mixtures,mixture
slopes,slope
sloped,slope
sloping,slope
criminals,criminal
maps,map
spins,spin
spinning,spin
spun,spin
praises,praise
praised,praise
praising,praise
ploughed,plough
ploughs,plough
ploughing,plough
plows,plough
plowed,plough
plowing,plough
barrels,barrel
straightens,straighten
straightening,straighten
straightened,straighten
scarcity,scarce
scarcely,scarce
lunches,lunch
creeps,creep
gaily,gay
stiffly,stiff
stiffness,stiff
bravely,brave
seizes,seize
seized,seize
seizing,seize
horizons,horizon
moderately,moderate
complicates,complicate
complicated,complicate
complicating,complicate
digs,dig
dug,dig
digging,dig
curses,curse
weighs,weigh
weighed,weigh
weighing,weigh
priests,priest
excessively,excessive
quarrels,quarrel
quarrelled,quarrel
quarrelling,quarrel
quarrelsome,quarrel
widows,widow
modestly,modest
dines,dine
dining,dine
politicians,politician
educates,educate
educating,educate
educated,educate
uneducated,educate
salesmen,salesman
nails,nail
taps,tap
tapped,tap
tapping,tap
easterly,eastern
possessions,possession
behaves,behave
behaved,behave
behaving,behave
merciful,mercy
merciless,mercy
scatters,scatter
scattered,scatter
scattering,scatter
objectionable,objection
silvery,silver
tents,tent
saddles,saddle
wraps,wrap
wrapped,wrap
wrapping,wrap
wrapper,wrap
nests,nest
grinds,grind
grindstone,grind
spells,spell
spelled,spell
spelling,spell
arched,arch
archway,arch
swells,swell
swelled,swell
swelling,swell
friendships,friendship
baths,bath
bundles,bundle
crowns,crown
boundaries,boundary
clocks,clock
clockwork,clock
boils,boil
boiled,boil
boiling,boil
boiler,boil
lends,lend
lent,lend
holidays,holiday
wanders,wander
wandered,wander
wandering,wander
reputations,reputation
tickets,ticket
pretends,pretend
pretending,pretend
pretended,pretend
dismisses,dismiss
dismissed,dismiss
dismissing,dismiss
dismissal,dismiss
delicately,delicate
despairs,despair
despaired,despair
despairing,despair
awoke,awake
awaking,awake
fortunes,fortune
caps,cap
threads,thread
hasty,haste
hastily,haste
shirts,shirt
bargains,bargain
rails,rail
railway,rail
dots,dot
inquires,inquire
inquired,inquire
inquiring,inquire
decisively,decisive
vessels,vessel
steamer,steam
steamship,steam
pins,pin
bounded,bound
bounds,bound
companions,companion
toes,toe
rewards,reward
rewarded,reward
rewarding,reward
forbids,forbid
forbidden,forbid
towers,tower
bathed,bathe
bathes,bathe
lodges,lodge
lodging,lodge
lodged,lodge
swallowed,swallow
swallowing,swallow
swallows,swallow
multiplies,multiply
multiplied,multiply
multiplying,multiply
bows,bow
bowing,bow
bowed,bow
kingdoms,kingdom
garages,garage
pumps,pump
pumped,pump
pumping,pump
urgently,urgent
aunts,aunt
idleness,idle
idly,idle
fevers,fever
feverish,fever
feverishly,fever
regrets,regret
regretted,regret
regretting,regret
jaws,jaw
soapy,soap
pronounces,pronounce
pronounced,pronounce
pronouncing,pronounce
mispronounce,pronounce
empires,empire
bowls,bowl
organs,organ
minerals,mineral
disagrees,disagree
disagreed,disagree
disagreeing,disagree
disagreement,disagree
blades,blade
tricks,trick
treasurer,treasure
treasurers,treasure
inconvenience,convenience
inconvenient,convenience
disapproves,disapprove
disapproved,disapprove
disapproving,disapprove
disapproval,disapprove
destructively,destructive
forks,fork
tunes,tune
polishes,polish
polished,polish
polishing,polish
poisonous,poison
shames,shame
shamed,shame
shaming,shame
shameful,shame
shameless,shame
cottages,cottage
astonishes,astonish
astonished,astonish
astonishing,astonish
astonishment,astonish
shaves,shave
shaved,shave
shaving,shave
feathers,feather
sauces,sauce
lids,lid
debts,debt
fades,fade
faded,fade
fading,fade
confesses,confess
confessed,confess
confessing,confess
descends,descend
descended,descend
descending,descend
capes,cape
mildly,mild
mildness,mild
envelopes,envelope
inventions,invention
splendidly,splendid
stamps,stamp
floats,float
floating,float
floated,float
bricks,brick
businessmen,businessman
businesswoman,businessman
businesswomen,businessman
qualifications,qualification
lamps,lamp
curls,curl
curling,curl
curled,curl
curly,curl
showers,shower
bunches,bunch
bells,bell
steers,steer
steered,steer
steering,steer
spits,spit
spat,spit
spitting,spit
robs,rob
robbed,rob
robbing,rob
interrupts,interrupt
interrupted,interrupt
interrupting,interrupt
pens,pen
weaves,weave
wove,weave
woven,weave
oranges,orange
rescues,rescue
rescued,rescue
rescuing,rescue
crushes,crush
crushed,crush
crushing,crush
humbly,humble
fanciful,fancy
decays,decay
decaying,decay
decayed,decay
politely,polite
politeness,polite
tribes,tribe
bleeds,bleed
coins,coin
classified,classify
classifying,classify
omits,omit
omitted,omit
omitting,omit
needles,needle
lessens,lessen
lessened,lessen
lessening,lessen
complaints,complaint
pads,pad
padded,pad
padding,pad
skirts,skirt
curtains,curtain
solemnly,solemn
greasy,grease
interferes,interfere
interfered,interfere
interfering,interfere
explodes,explode
exploded,explode
exploding,explode
fastener,fasten
flags,flag
resigned,resign
resigns,resign
resigning,resign
resignation,resign
boasts,boast
boasting,boast
boasted,boast
boastful,boast
ropes,rope
envies,envy
envied,envy
envious,envy
airplane,aeroplane
aeroplanes,aeroplane
airplanes,aeroplane
rids,rid
shields,shield
shielded,shield
shielding,shield
veils,veil
kneels,kneel
kneeled,kneel
kneeling,kneel
trays,tray
explosively,explosive
taxis,taxi
ducks,duck
buttons,button
buttoned,button
buttoning,button
unbutton,button
invents,invent
invented,invent
inventing,invent
remedies,remedy
bushes,bush
weakens,weaken
weakened,weaken
weakening,weaken
scrapes,scrape
scraped,scrape
scraping,scrape
arrows,arrow
tenderly,tender
tenderness,tender
cruelly,cruel
cruelty,cruel
softens,soften
softening,soften
softened,soften
mice,mouse
juicy,juice
shelves,shelf
bakes,bake
baked,bake
baking,bake
cautiously,cautious
baskets,basket
wrecked,wreck
wrecking,wreck
wreckage,wreck
confidents,confident
logs,log
heaps,heap
sucks,suck
sucked,suck
sucking,suck
ladders,ladder
gaps,gap
obeyed,obey
obeys,obey
obeying,obey
huts,hut
axes,axe
translations,translation
collars,collar
deliveries,delivery
reproduces,reproduce
reproduced,reproduce
reproducing,reproduce
confessions,confession
pans,pan
prejudiced,prejudice
unprejudiced,prejudice
voyages,voyage
pastes,paste
pasted,paste
pasting,paste
cakes,cake
elephants,elephant
ribbons,ribbon
caves,cave
thieves,thief
sews,sew
sewing,sew
sewn,sew
rusty,rust
separations,separation
waiters,waiter
waitress,waiter
waitresses,waiter
pets,pet
straws,straw
upsets,upset
upsetting,upset
towels,towel
refreshing,refresh
refreshed,refresh
refreshes,refresh
refreshment,refresh
refreshments,refresh
defendants,defendant
dips,dip
dipped,dip
dipping,dip
suspiciously,suspicious
carriages,carriage
educators,educator
saws,saw
sawed,saw
sawn,saw
sawdust,saw
sawmill,saw
stoves,stove
rugs,rug
awkwardly,awkward
awkwardness,awkward
rivals,rival
roasting,roast
roasted,roast
deeds,deed
preferences,preference
explosions,explosion
theatrically,theatrical
cultivates,cultivate
cultivating,cultivate
cultivated,cultivate
collectors,collector
miserably,miserable
wrists,wrist
rabbits,rabbit
tides,tide
tidal,tide
insults,insult
insulted,insult
insulting,insult
thumbs,thumb
lumps,lump
annoyed,annoy
annoys,annoy
annoying,annoy
toys,toy
heals,heal
healed,heal
healing,heal
shallowness,shallow
repetitions,repetition
whistles,whistle
whistling,whistle
apples,apple
offense,offence
corkscrew,cork
pinches,pinch
diamonds,diamond
razors,razor
imaginatively,imaginative
hooks,hook
landlords,landlord
influentially,influential
rots,rot
rotted,rot
rotting,rot
hollows,hollow
encloses,enclose
enclosed,enclose
enclosing,enclose
hardens,harden
hardened,harden
hardening,harden
wickedly,wicked
wickedness,wicked
stiffens,stiffen
stiffening,stiffen
stiffened,stiffen
silkworm,silk
silky,silk
striped,stripe
pigs,pig
inwards,inward
inwardly,inward
rakes,rake
raking,rake
raked,rake
hastens,hasten
hastened,hasten
hastening,hasten
shortens,shorten
shortened,shorten
shortening,shorten
aches,ache
apologies,apology
knots,knot
nephews,nephew
cushions,cushion
cushioned,cushion
drowns,drown
drowning,drown
drowned,drown
nurseries,nursery
pints,pint
fiercely,fierce
imitates,imitate
imitated,imitate
imitating,imitate
robberies,robbery
tightens,tighten
tightened,tighten
tightening,tighten
imperfection,perfection
scornful,scorn
trunks,trunk
woollen,wool
woolly,wool
sailors,sailor
competitors,competitor
beans,bean
drawers,drawer
disregards,disregard
disregarded,disregard
disregarding,disregard
tins,tin
tinned,tin
pennyworth,penny
cages,cage
pardoned,pardon
pardons,pardon
pardoning,pardon
unpardonable,pardon
offends,offend
offended,offend
offending,offend
spoils,spoil
spoilt,spoil
spoiling,spoil
horizontally,horizontal
stings,sting
stung,sting
ditches,ditch
librarians,librarian
coughs,cough
coughed,cough
coughing,cough
swords,sword
messengers,messenger
vainly,vain
castles,castle
elasticity,elastic
combs,comb
rods,rod
widens,widen
widened,widen
widening,widen
inventors,inventor
cliffs,cliff
umbrellas,umbrella
interruptions,interruption
merrily,merry
gallons,gallon
conquests,conquest
headaches,headache
tailors,tailor
buckets,bucket
signatures,signature
carts,cart
darkens,darken
darkened,darken
darkening,darken
applauds,applaud
applauding,applaud
applauded,applaud
pretences,pretence
pretense,pretence
pretenses,pretence
descents,descent
conquers,conquer
conquered,conquer
conquering,conquer
frameworks,framework
confidentially,confidential
adoptions,adoption
disgusts,disgust
disgusted,disgust
disgusting,disgust
waists,waist
waistcoat,waist
momentarily,momentary
receipts,receipt
pearls,pearl
rays,ray
limbs,limb
beasts,beast
monkeys,monkey
jewels,jewel
socks,sock
vowels,vowel
hammers,hammer
hammered,hammer
hammering,hammer
chimneys,chimney
ornaments,ornament
sharpens,sharpen
sharpening,sharpen
sharpened,sharpen
handkerchiefs,handkerchief
greedy,greed
greedily,greed
thirsty,thirst
nieces,niece
spills,spill
spilling,spill
loaves,loaf
worms,worm
rudely,rude
rudeness,rude
heightens,heighten
heightened,heighten
heightening,heighten
loosens,loosen
loosened,loosen
loosening,loosen
rivalries,rivalry
royalties,royalty
discontented,discontent
complications,complication
indoors,indoor
actresses,actress
congratulations,congratulation
ounces,ounce
fries,fry
fried,fry
frying,fry
goats,goat
inky,ink
disappearances,disappearance
thickens,thicken
thickening,thicken
thickened,thicken
spoons,spoon
spoonful,spoon
straps,strap
deceives,deceive
deceived,deceive
deceiving,deceive
corrections,correction
descendants,descendant
hesitations,hesitation
spades,spade
basins,basin
weeds,weed
omissions,omission
bicycles,bicycle
photographs,photography
cowardly,coward
mats,mat
rejoices,rejoice
rejoiced,rejoice
rejoicing,rejoice
cheats,cheat
cheated,cheat
cheating,cheat
congratulates,congratulate
congratulated,congratulate
congratulating,congratulate
discomforts,discomfort
discomforted,discomfort
discomforting,discomfort
enclosures,enclosure
attentively,attentive
paws,paw
overflows,overflow
overflowed,overflow
overflowing,overflow
dissatisfies,dissatisfy
dissatisfied,dissatisfy
dissatisfying,dissatisfy
tidies,tidy
tidied,tidy
tidying,tidy
bribes,bribe
bribing,bribe
bribed,bribe
mends,mend
mended,mend
mending,mend
stockings,stocking
feasts,feast
feasting,feast
nuisances,nuisance
thorns,thorn
inclusively,inclusive
processions,procession
ripens,ripen
ripened,ripen
ripening,ripen
homecomings,homecoming
barbers,barber
whitens,whiten
whitening,whiten
whitened,whiten
berries,berry
lightens,lighten
lightened,lighten
lightening,lighten
pigeons,pigeon
hinders,hinder
hindered,hinder
hindering,hinder
nouns,noun
deepens,deepen
deepened,deepen
deepening,deepen
pastries,pastry
cupboards,cupboard
quarts,quart
quarterly,quart
headquarters,quart
canals,canal
notebooks,notebook
deceits,deceit
deceitful,deceit
parcels,parcel
brightens,brighten
brightened,brighten
punctuality,punctual
punctually,punctual
fattens,fatten
fattened,fatten
fattening,fatten
conquerors,conqueror
hindrances,hindrance
obediently,obedient
saucers,saucer
maddens,madden
maddened,madden
maddening,madden
scolds,scold
scolded,scold
scolding,scold
weekdays,weekday
disrespects,disrespect
disrespected,disrespect
disrespecting,disrespect
disrespectful,disrespect
deafens,deafen
deafening,deafen
deafened,deafen
donkeys,donkey
unbusinesslike,businesslike
saddens,sadden
saddened,sadden
saddening,sadden
handshakes,handshake
headdresses,headdress
possessors,possessor
shillings,shilling
reddens,redden
reddened,redden
reddening,redden
electricians,electrician
oars,oar
sweetens,sweeten
sweetened,sweeten
sweetening,sweeten
sows,sow
sown,sow
sowing,sow
beaks,beak
