English,Spanish,French,Haitian Creole,Portuguese
especially,especialmente,xxx,chape,especialmente
essence,esencia,essence,chape,essência
essential,xxx,essentiel,esansyèl,essencial
establish,establecer,établir,etabli,estabelecer
estimate,estimar,estimation,estimasyon,estimativa
estimation,estimación,estimation,estimasyon,estimativa
ethic,ética,éthique,etik,ética
ethnic,étnico,ethnique,etnik,étnico
ethymology,etimología,éthymologie,etimoloji,etimologia
evaluate,evaluar,évaluer,evalye,avaliar
event,evento,événement,evènman,evento
eventual,eventual,éventuel,evantyèlman,eventual
evident,evidente,évident,evidan,evidente
evidently,evidentemente,évidemment,evidan,evidentemente
evolution,evolución,évolution,evolisyon,evolução
evolve,xxx,évoluer,evolve,evoluir
exact,exacto,exact,egzak,exato
exactly,exactamente,exactement,egzakteman,exatamente
exaggerate,exagerar,exagérer,egzajere,exagerar
exalt,exaltar,exalter,egzalte,exaltar
examine,examinar,examiner,egzaminen,examinar
example,ejemplo,exemple,egzaminen,exemplo
exceed,exceder,xxx,egzaminen,exceder
excellence,excelencia,excellence,ekselans,excelência
excellent,excelente,excellent,ekselan,excelente
except,excepto,xxx,eksepte,exceto
exception,excepción,exception,eksepsyon,exceção
excess,exceso,excès,eksepsyon,excesso
excessive,excesivo,excessif,eksepsyon,excessivo
exchange,xxx,échange,echanj,xxx
excite,excitar,exciter,eksite,excitar
exclaim,exclamar,exclamer,eksite,exclamar
exclude,excluir,exclure,eskli,excluir
exclusion,exclusión,exclusion,esklizyon,exclusão
excuse,xxx,excuse,eskiz,desculpa
exemption,exención,exemption,egzanpsyon,xxx
exercise,ejercicio,exercice,egzanpsyon,exercício
exhibit,xxx,exposition,egzanpsyon,xxx
exist,existir,exister,egziste,existir
existence,existencia,existence,egziste,existência
exotic,exótico,exotique,ekzotik,exótico
expand,expandir,xxx,ekzotik,expandir
expect,esperar,xxx,ekzotik,esperar
expense,xxx,xxx,depans,xxx
experience,experiencia,expérience,eksperyans,experiência
experiment,experimento,expérience,eksperyans,experimentar
expert,experto,expert,ekspè,xxx
explain,explicar,expliquer,ekspè,explicar
explicit,explícito,explicite,eksplisit,explícito
explode,explotar,exploser,eksploze,explodir
exploit,explotar,exploiter,esplwate,explorar
explore,explorar,explorer,eksplore,explorar
explosion,explosión,explosion,eksplozyon,explosão
explosive,explosivo,explosif,eksplozyon,explosivo
export,exportar,exporter,ekspòtasyon,exportar
expose,exponer,exposer,ekspoze,expor
exposition,exposición,exposition,ekspozisyon,exposição
express,expresar,exprimer,ekspozisyon,expressar
expression,expresión,expression,ekspresyon,expressão
extend,extender,étendre,ekspresyon,estender
extension,extensión,extension,ekstansyon,extensão
extensive,extenso,extensif,ekstansyon,extenso
extent,xxx,xxx,ekstansyon,extensão
external,externo,externe,ekstèn,externo
extra,extra,xxx,ekstèn,extra
extract,extracto,extrait,ekstrè,extrair
extraordinary,extraordinario,extraordinaire,ekstraòdinè,extraordinário
extravagant,extravagante,extravagant,ekstravagan,extravagante
extreme,extremo,extrême,ekstrèm,extremo
facade,fachada,façade,fasad,fachada
facilitate,facilitar,faciliter,fasilite,facilitar
fact,xxx,fait,fasilite,fato
factor,factor,facteur,faktè,fator
factory,xxx,xxx,faktori,xxx
failure,falla,xxx,faktori,falha
false,falso,xxx,faktori,falso
familiar,familiar,familier,faktori,familiar
family,familia,famille,fanmi,família
famous,famoso,xxx,fanmi,famoso
fanatic,fanático,fanatique,fanatik,fanático
fantastic,fantástico,fantastique,fanatik,fantástico
fascinate,fascinar,fasciner,fanatik,fascinar
fascist,fascista,fasciste,fachis,fascista
fatten,entiendo,xxx,fachis,xxx
fault,falla,faute,fachis,falta
favor,favor,xxx,favè,favor
favorable,favorable,favorable,favorab,favorável
favorite,favorito,xxx,favorab,favorito
favour,favor,xxx,favorab,favor
favourite,favorito,xxx,favorab,favorito
feast,xxx,festin,favorab,xxx
federal,federal,fédéral,federal,federal
federation,federación,fédération,federasyon,federação
female,femenino,femelle,federasyon,fêmea
feminine,femenino,féminin,federasyon,feminino
ferment,fermentar,fermenter,fèmante,fermentar
ferocious,feroz,féroce,feròs,feroz
festival,festival,festival,festival,festival
festive,festivo,de fête,fèstivite,festivo
fever,xxx,fièvre,fèstivite,xxx
fiction,ficción,fiction,fiksyon,ficção
fierce,feroz,féroce,feròs,feroz
figure,xxx,chiffre,feròs,figura
filament,filamento,filament,filaman,filamento
film,xxx,film,fim,filme
filtre,filtrado,filtre,filtre,filtrado
final,final,final,final,final
finally,finalmente,enfin,finalman,finalmente
finance,finanzas,finance,finans,financiar
finish,finalizar,finition,finans,xxx
finite,finito,fini,fini,finito
firm,firme,ferme,fèm,xxx
flame,llama,flamme,fèm,xxx
flash,xxx,xxx,flash,xxx
flatten,xxx,xxx,plati,xxx
flavor,sabor,xxx,plati,sabor
flexible,flexible,flexible,fleksib,flexível
float,flotar,flotter,flote,xxx
flower,flor,fleur,flè,flor
fluctuate,fluctuar,fluctuer,fluktue,flutuar
fluency,fluidez,xxx,fasilite,fluência
focus,enfocar,xxx,fasilite,foco
forbid,prohibir,xxx,fasilite,proibir
force,fuerza,forcer,fòs,vigor
forest,xxx,forêt,fòs,floresta
form,forma,formulaire,fòm,forma
formal,formal,xxx,fòmèl,formal
format,formato,format,fòma,formatar
formation,formación,formation,fòmasyon,formação
formula,fórmula,formule,fòmil,fórmula
fortunate,afortunado,xxx,fòmil,afortunado
fortune,fortuna,fortune,fòtin,fortuna
forum,foro,forum,fowòm,fórum
foundation,xxx,fondation,fondasyon,fundação
founded,fundado,fondé,founde,fundado
fragile,frágil,fragile,frajil,frágil
frequency,frecuencia,fréquence,frekans,freqüência
frequent,frecuente,fréquent,frekans,freqüente
fresh,fresco,xxx,frekans,fresco
friction,fricción,friction,friksyon,xxx
front,frente,xxx,friksyon,frente
fruit,fruta,fruit,fwi,fruta
function,función,fonction,fonksyon,função
functionalism,funcionalismo,fonctionnalisme,fonksyonalite,funcionalismo
fund,xxx,fonds,fon,fundo
fundamental,fundamental,fondamental,fondamantal,fundamental
funeral,funeral,funérailles,fineray,funeral
furious,furioso,furieux,fineray,furioso
furnish,xxx,fournir,founi,xxx
future,futuro,xxx,founi,futuro
gaiety,xxx,gaieté,founi,xxx
galaxy,galaxia,galaxie,galaksi,galáxia
gallon,galón,gallon,galon,galão
garage,xxx,garage,garaj,garagem
garden,jardín,jardin,jaden,jardim
gardenia,gardenia,gardénia,gardenia,gardênia
gas,gas,gaz,gaz,gás
gender,género,genre,gender,gênero
genealogy,genealogía,généalogie,jeneyaloji,genealogia
general,general,général,jeneral,em geral
generate,generar,générer,jenere,gerar
generation,generación,génération,jenerasyon,geração
generous,generoso,généreux,jenere,generoso
gentle,xxx,xxx,jenere,gentil
gentleman,xxx,gentilhomme,jenere,xxx
giraffe,jirafa,girafe,jiraf,girafa
gland,glándula,glande,glann,glândula
global,global,xxx,glann,global
globe,globo,globe,glòb,globo
glorious,glorioso,glorieux,glòb,glorioso
glory,gloria,gloire,glòb,glória
glucose,glucosa,glucose,glikoz,glicose
golf,golf,golf,gòlf,golfe
gorilla,gorila,gorille,goril,gorila
govern,gobernar,gouverner,gouvène,governar
government,gobierno,gouvernement,gouvènman an,governo
governor,gobernador,gouverneur,gouvènè,governador
grace,gracia,grâce,gouvènè,graça
gracious,gracioso,gracieux,grasyeu,gracioso
grade,grado,grade,grasyeu,xxx
gradual,gradual,graduel,gradyèl,gradual
grain,grano,grain,grenn,xxx
grammar,gramática,grammaire,gramè,gramática
grammatical,gramático,grammatical,gramatikal,gramatical
grand,xxx,xxx,gramatikal,grande
granite,granito,granit,granit,granito
grant,xxx,xxx,grant,xxx
grapheme,grafema,graphème,grafèm,grafema
grass,xxx,xxx,grafèm,grama
grateful,agradecido,xxx,grafèm,grato
gratis,gratis,gratuit,gratis,xxx
grease,grasa,graisse,gratis,graxa
group,grupo,groupe,gwoup,grupo
guarantee,garantizar,garantie,garanti,garantia
guard,guardia,garde,garanti,guarda
guide,guía,guide,gid,guia
guitar,guitarra,guitare,gita,guitarra
habit,hábito,habitude,abitid,hábito
harmony,armonía,harmonie,amoni,harmonia
hatred,xxx,haine,amoni,xxx
headdress,xxx,xxx,headdress,xxx
helicopter,helicóptero,hélicoptère,elikoptè,helicóptero
hesitate,xxx,hésiter,ezite,hesite
hesitation,xxx,hésitation,ezitasyon,hesitação
hiatus,hiato,hiatus,interruption,hiato
hierarchy,jerarquía,hiérarchie,yerachi,hierarquia
hindrance,xxx,xxx,antrav,xxx
hippopotamus,hipopótamo,hippopotame,ipopotam,hipopótamo
history,historia,histoire,istwa,história
homonym,homónimo,homonyme,omonim,homônimo
homophone,homófono,homophone,omofòn,homófono
honest,honesto,honnête,omofòn,honesto
honesty,honestidad,honnêteté,omofòn,xxx
honor,honor,honneur,onè,honra
honour,honor,honneur,onè,honra
horizon,horizonte,horizon,orizon,horizonte
horizontal,horizontal,horizontal,orizontal,horizontal
hospital,hospital,hôpital,lopital,hospital
hotel,hotel,hôtel,otèl,hotel
hour,hora,heure,otèl,hora
human,humano,humain,imen,humano
humble,humilde,humble,imen,humilde
hurrah,hurra,hourra,imen,xxx
hurry,apurarse,xxx,imen,xxx
hybrid,híbrido,hybride,ibrid,híbrido
hypothesis,hipótesis,hypothèse,ipotèz,hipótese
icon,icono,icône,icon,ícone
idea,idea,idée,lide,ideia
ideal,ideal,idéal,ideyal,ideal
idealism,idealismo,idéalisme,ideyalis,idealismo
identical,idéntico,identique,idantik,idêntico
identification,identificación,identification,idantifikasyon,identificação
identify,identificar,identifier,idantifye,identificar
identity,identidad,identité,idantite,identidade
ideology,ideología,idéologie,ideoloji,ideologia
idiom,xxx,idiome,idiom,idioma
ignorant,ignorante,ignorant,inyoran,ignorante
ignore,ignorar,ignorer,inyore,ignorar
illustrate,ilustrar,illustrer,ilistre,ilustrar
image,imagen,image,imaj,imagem
imaginary,imaginario,imaginaire,imajinè,imaginário
imaginative,imaginativo,imaginatif,imajinè,imaginativo
imagine,imaginar,imaginer,imajine,imaginar
imitate,imitar,imiter,imite,imitar
imitation,imitación,imitation,imitasyon,imitação
immediate,inmediato,immédiat,imedya,imediato
immediately,inmediatamente,immédiatement,imedyatman,imediatamente
immense,inmenso,immense,imans,imenso
immigrant,inmigrante,immigrant,imigran,imigrante
immigrate,inmigrar,immigrer,imigre,imigrar
impact,impacto,impact,enpak,impacto
impatience,impaciencia,impatience,enpasyans,impaciência
imperative,imperativo,impératif,enperatif,imperativo
implement,implementar,xxx,enperatif,implementar
implicate,implicar,impliquer,enplike,implicar
implication,implicación,implication,enplikasyon,implicação
implicit,implícito,implicite,implicite,implícito
implore,implorar,implorer,implicite,implorar
imply,implicar,impliquer,implique,implicar
import,importar,importer,enpòte,importar
importance,importancia,importance,enpòtans,importância
important,importante,important,enpòtan,importante
impose,imponer,imposer,enpoze,impor
impossible,imposible,impossible,enposib,impossível
impression,impresión,impression,enpresyon,impressão
inanimate,inanimado,inanimé,inanime,inanimado
incentive,incentivo,incitation,inanime,incentivo
incidence,incidencia,incidence,ensidans,incidência
incline,inclinación,inclinaison,enklinezon,inclinação
include,incluir,inclure,enklinezon,incluir
inclusive,inclusivo,xxx,enklinezon,inclusivo
incompatibility,incompatibilidad,incompatibilité,enkonpatibilite,incompatibilidade
incorporate,incorporar,xxx,enkòpore,incorporar
incredible,increíble,incroyable,enkwayab,incrível
incurable,incurable,incurable,incurable,incurável
indeed,en efecto,en effet,incurable,xxx
independence,independencia,indépendance,endepandans,independência
index,índice,indice,endèks,índice
indexation,indexación,indexation,endèksasyon,indexação
indicate,indicar,indiquer,endike,indicar
indicative,indicativo,indicatif,indicatif,indicativo
indicator,indicador,indicateur,endikatè,indicador
individual,individual,individuel,endividyèl,individual
indoor,interior,intérieur,endividyèl,interior
induce,inducir,induire,endividyèl,induzir
industry,industria,industrie,endistri,indústria
inevitable,inevitable,inévitable,inevitab,inevitável
infer,inferir,xxx,enfer,inferir
inference,inferencia,inférence,enferans,inferência
infinitive,infinitivo,infinitif,enfinitif,infinitivo
influence,influencia,influence,enfinitif,influência
influential,influyente,influent,enfliyan,influente
inform,informar,informer,enfliyan,informar
information,información,information,enfòmasyon,Informação
infrastructure,infraestructura,infrastructure,enfrastrikti,infraestrutura
inherent,inherente,inhérent,enfrastrikti,inerente
inhibit,inhibir,inhiber,enfrastrikti,inibir
initial,inicial,initial,inisyal,inicial
initiate,iniciado,initié,inisye,iniciar
innocence,inocencia,innocence,inosan,inocência
innovate,innovar,innover,inove,inovar
insect,insecto,insecte,ensèk,inseto
inseparable,inseparable,inséparable,inséparabl,inseparável
insert,insertar,insérer,insert,inserir
insight,xxx,xxx,insight,xxx
insist,insistir,insister,ensiste,insistir
inspect,inspeccionar,inspecter,enspekte,inspecionar
inspection,inspección,inspection,enspeksyon,inspeção
instance,instancia,xxx,istan,xxx
instant,instante,instantané,enstantane,xxx
instinct,instinto,instinct,ensten,instinto
institute,instituto,institut,enstiti,instituto
instruct,instruir,instruire,enstwi,instruir
instruction,instrucción,instruction,enstriksyon,instrução
instrument,instrumento,instrument,enstriman,instrumento
insult,insulto,insulte,enstriman,insulto
insurance,xxx,assurance,asirans,xxx
insure,xxx,assurer,asire,xxx
integral,integral,intégral,entegral,integrante
integrate,integrar,intégrer,entegre,integrar
integrity,integridad,intégrité,entegrite,integridade
intelligence,inteligencia,intelligence,entèlijans,inteligência
intelligent,inteligente,intelligent,entèlijan,inteligente
intend,pretender,xxx,entèlijan,pretende
intense,intenso,intense,entans,intenso
intensity,intensidad,intensité,entansite,intensidade
intention,intención,intention,entansyon,intenção
interact,interactuar,interagir,interact,interagir
interaction,interacción,interaction,entèraksyon,interação
interest,interés,intérêt,enterè,interesse
interesting,interesante,intéressant,enteresan,interessante
interfere,interferir,interférer,entèfere,interferir
interference,interferencia,ingérence,entèferans,interferência
intermediate,intermedio,intermédiaire,entèmedyè,intermediário
internal,interno,interne,entèn,interno
international,internacional,international,entènasyonal,internacional
interpolation,interpolación,interpolation,entèpolasyon,interpolação
interpret,interpretar,interpréter,entèprete,interpretar
interpretation,interpretación,interprétation,entèpretasyon,interpretação
interrupt,interrumpir,interrompre,entèwonp,interromper
interruption,interrupción,interruption,entèripsyon,interrupção
interval,intervalo,intervalle,entèval,intervalo
intervene,intervenir,intervenir,entèvni,intervir
intrinsic,intrínseco,intrinsèque,intrinsèque,intrínseco
introduce,introducir,introduire,intrinsèque,introduzir
introduction,introducción,introduction,entwodiksyon,introdução
invent,inventar,inventer,envante,inventar
invention,invención,invention,envansyon,invenção
inventor,inventor,inventeur,envanteur,inventor
invest,invertir,investir,envesti,investir
investigate,investigar,xxx,envestige,investigar
invitation,invitación,invitation,envitasyon,xxx
invite,invitar,inviter,envite,convidar
invoke,invocar,invoquer,envoke,invocar
involve,involucrar,xxx,envoke,envolver
inward,interior,intérieur,envoke,xxx
island,isla,île,zile,ilha
isolate,aislar,isoler,izole,isolar
item,xxx,xxx,izole,item
jargon,jerga,jargon,jagon,jargão
jealous,celoso,jaloux,jalouzi,xxx
jealousy,celos,jalousie,jalouzi,xxx
joint,xxx,xxx,jwenti,xxx
journal,xxx,journal,jounal,jornal
journalist,xxx,journaliste,jounalis,jornalista
judge,juez,juge,jij,juiz
judgement,juicio,jugement,jijman,julgamento
justice,justicia,justice,jistis,justiça
justification,justificación,justification,jistifikasyon,justificação
justify,justificar,justifier,jistifye,justificar
juvenile,juvenil,juvénile,jivenil,juvenil
kangaroo,canguro,kangourou,kangouwou,canguru
karate,kárate,karaté,karate,karatê
kayak,kayac,kayak,kayak,caiaque
khaki,caqui,kaki,kaki,cáqui
kilogram,kilogramo,kilogramme,kilogram,quilograma
kiloliter,kilolitros,kilolitres,kilolit,quilolitros
kilometer,kilómetro,kilomètre,kilomèt,quilômetro
kilowatt,kilovatio,kilowatt,kilowat,quilowatt
labor,labor,xxx,kilowat,xxx
lament,lamento,xxx,kilowat,lamento
lamp,lámpara,lampe,lanp,lâmpada
language,xxx,langue,lang,linguagem
laser,láser,laser,lazè,laser
leader,líder,xxx,lidè,líder
leadership,xxx,xxx,lidèchip,xxx
lecture,xxx,xxx,lekti,xxx
legal,legal,légal,legal,xxx
legality,legalidad,légalité,legalite,legalidade
legislate,legislar,légiférer,lejislasyon,legislar
legislative,legislativo,législatif,lejislatif,legislativo
lemon,limón,xxx,lejislatif,limão
lemonade,limonada,limonade,limonad,limonada
length,longitud,longueur,longè,xxx
lengthen,xxx,xxx,lonje,xxx
lens,lente,lentille,lantiy,lente
leopard,leopardo,léopard,leyopa,leopardo
lesson,lección,leçon,leson,lição
letter,xxx,lettre,leson,xxx
level,nivel,xxx,leson,nível
lexicon,léxico,lexique,leksik,léxico
liberal,liberal,libéral,liberal,liberal
liberalization,liberalización,libéralisation,liberalizasyon,liberalização
liberation,liberación,libération,liberasyon,libertação
liberty,libertad,liberté,libète,liberdade
libretto,libreto,livret,libreto,libreto
licence,licencia,licence,lisans,licença
license,licencia,licence,lisans,licença
limit,límite,limite,limit,limite
line,línea,xxx,liy,linha
linguistics,lingüística,linguistique,lengwistik,linguística
lion,león,lion,lyon,leão
lipstick,xxx,xxx,lipstick,xxx
liquid,líquido,liquide,likid,líquido
list,lista,liste,lis,lista
literary,literario,littéraire,literè,literário
literature,literatura,littérature,literati,literatura
local,local,locale,lokal,local
locate,localizar,xxx,lokalize,localizar
logic,lógica,logique,lojik,lógica
long,xxx,long,lontan,longo
loyal,xxx,loyal,lontan,xxx
loyalty,xxx,loyauté,lontan,xxx
lucid,lúcido,lucide,lisid,lúcido
machine,máquina,machine,machin,máquina
machinery,maquinaria,machinerie,machin,maquinaria
magic,magia,magie,majik,magia
magician,mago,magicien,majisyen,mágico
magnetic,magnético,magnétique,mayetik,magnético
magnificent,magnífico,magnifique,manyifik,magnífico
maintain,mantener,maintenir,manyifik,manter
major,mayor,majeur,manyifik,xxx
manipulate,manipular,manipuler,manipile,manipular
manipulation,manipulación,manipulation,manipilasyon,manipulação
mankind,humanidad,xxx,manipilasyon,humanidade
manner,manera,manière,manipilasyon,maneiras
manual,manual,manuel,manyèl,manual
manuscript,manuscrito,manuscrit,maniskri,manuscrito
march,marzo,mars,mach,marchar
margin,margen,marge,maj,margem
marionette,marioneta,marionnette,marionèt,marionete
market,xxx,marché,mache,xxx
marriage,xxx,mariage,maryaj,xxx
marry,xxx,marier,marye,xxx
masculine,masculino,masculin,maskilen,masculino
master,maestro,maître,maskilen,mestre
match,xxx,xxx,match,xxx
material,material,matériel,materyèl,material
mathematics,matemáticas,mathématiques,matematik,matemática
matrix,matriz,matrice,matris,matriz
matter,xxx,matière,matyè,matéria
mature,maduro,mature,matirite,maduro
maximise,maximizar,maximiser,makximize,maximizar
maximize,maximizar,maximiser,maksimize,maximizar
maximum,máximo,maximum,maksimòm,máximo
measure,xxx,mesure,maksimòm,medir
mechanic,mecánico,mécanicien,mekanisyen,mecânico
mechanism,mecanismo,mécanisme,mekanis,mecanismo
medal,medalla,médaille,meday,medalha
media,xxx,médias,medya,mídia
mediate,mediar,médiat,medyatè,mediar
medical,médico,médical,medikal,médico
medicine,medicamento,médecine,medikal,medicamento
medium,medio,moyen,mwayen,médio
melody,melodía,mélodie,melodi,melodia
member,miembro,membre,melodi,membro
memory,memoria,mémoire,memwa,memória
mental,mental,mental,mantal,mental
mention,mencionar,mention,mansyone,menção
merchant,comerciante,marchand,machann,comerciante
mercy,merced,xxx,machann,xxx
message,mensaje,message,mesaj,mensagem
messenger,xxx,messager,mesaje,mensageiro
metal,metal,métal,metal,metal
metaphor,metáfora,métaphore,metafò,metáfora
method,método,méthode,metòd,método
methodology,metodología,méthodologie,metodoloji,metodologia
metric,métrico,métrique,metrik,métrica
micro,micro,micro,mikwo,micro
microscope,microscopio,microscope,mikwoskòp,microscópio
migrate,emigrar,émigrer,emigre,migrar
military,militar,militaire,militè,militares
million,millón,million,milyon,milhão
mind,mente,xxx,milyon,mente
mineral,mineral,minéral,mineral,mineral
miniature,miniatura,miniature,mineral,miniatura
minimal,mínimo,minimal,minim,mínimo
minimise,minimizar,minimiser,minimize,minimizar
minimize,minimizar,minimiser,minimize,minimizar
minimum,mínimo,minimum,minimòm,mínimo
minister,ministro,ministre,minis,ministro
ministry,ministerio,ministère,ministè,ministério
minor,menor,mineure,minè,menor
minute,minuto,minute,minit,minuto
minutes,minutos,minutes,minit,minutos
miracle,milagro,miracle,mirak,milagre
miserable,miserable,misérable,mizerab,miserável
misery,miseria,misère,mizerab,miséria
mixture,xxx,xxx,mizerab,mistura
mobile,móvil,mobile,mobil,móvel
modality,modalidad,modalité,modalite,modalidade
mode,modo,mode,mòd,modo
model,modelo,modèle,modèl,modelo
moderate,moderado,modéré,modere,moderado
moderation,moderación,modération,modération,moderação
modern,moderno,moderne,modèn,moderno
modest,modesto,modeste,modès,modesto
modesty,modestia,modestie,modesti,modéstia
modify,modificar,modifier,modifye,modificar
moment,momento,moment,moman,momento
momentary,momentáneo,momentané,momantane,momentâneo
monitor,monitor,moniteur,monitor,monitor
monument,monumento,monument,moniman,monumento
moral,moral,morale,moral,moral
morning,xxx,matin,moral,xxx
motherly,xxx,maternelle,moral,xxx
motion,xxx,mouvement,mouvman,movimento
motive,motivo,motif,motif,motivo
motor,motor,moteur,motè,motor
mountain,montaña,montagne,motè,montanha
mouth,xxx,bouche,bouch,xxx
movement,movimiento,mouvement,mouvman,movimento
multilingual,xxx,multilingue,mouvman,multilíngue
multiplication,multiplicación,multiplication,miltiplikasyon,multiplicação
multiply,multiplicar,multiplier,miltipliye,multiplicar
murder,xxx,meurtre,miltipliye,xxx
music,música,musique,mizik,música
musician,músico,musicien,mizik,músico
mutation,mutación,mutation,mitasyon,mutação
mutual,mutual,mutuel,mityèl,mútuo
mystery,misterio,mystère,mistè,mistério
name,nombre,nom,non,nome
nation,nación,nation,nasyon,nação
national,nacional,national,nasyonal,nacional
nationality,nacionalidad,nationalité,nasyonalite,nacionalidade
native,nativo,xxx,nasyonalite,nativo
natural,natural,naturel,natirèl,natural
naturally,naturalmente,naturellement,natirèlman,naturalmente
nature,xxx,nature,natirèlman,natureza
navigation,navegación,navigation,navigasyon,navegação
necessary,necesario,nécessaire,nesesè,necessário
necessity,necesidad,nécessité,nesesite,necessidade
nectar,néctar,nectar,nèktar,néctar
negate,negar,nier,nye,negar
negative,negativo,négatif,negatif,negativo
neglect,xxx,négligence,neglijans,xxx
negligence,negligencia,négligence,neglijans,negligência
negotiate,negociar,négocier,negosye,negociar
neither,xxx,xxx,negosye,nenhum
neon,neón,néon,negosye,néon
nephew,xxx,neveu,negosye,xxx
nervous,nervioso,nerveux,nève,nervoso
neurology,neurología,neurologie,newoloji,neurologia
neuter,neutro,neutre,net,neutro
neutral,neutral,neutre,net,neutro
neutron,neutrón,neutron,netwon,nêutron
niece,xxx,nièce,netwon,xxx
noble,noble,noble,netwon,nobre
norm,norma,norme,nòmal,norma
normal,normal,normale,nòmal,normal
normally,normalmente,normalement,nòmalman,normalmente
north,norte,xxx,nòmalman,norte
northern,xxx,xxx,nòmalman,norte
notable,notable,notable,nòmalman,notável
note,nota,note,note,xxx
notice,xxx,notice,note,xxx
notify,notificar,notifier,notifye,notificar
notion,noción,notion,nosyon,noção
nuclear,nuclear,nucléaire,nikleyè,nuclear
nuisance,xxx,nuisance,nwuizans,xxx
number,número,nombre,nimewo,número
numeral,número,numéral,nimeral,numeral
numerator,numerador,numérateur,nimeratè,numerador
numerous,numeroso,nombreux,nimeratè,numerosos
nursery,xxx,nursery,nimeratè,xxx
nutrition,nutrición,nutrition,nitrisyon,nutrição
obedience,obediencia,obéissance,obeyisans,obediência
obedient,obediente,obéissant,obeyisan,obediente
object,objeto,objet,objè,objeto
objection,objeción,objection,objeksyon,objeção
objective,objetivo,objectif,objektif,objetivo
observatory,observatorio,observatoire,obsèvatwa,observatório
observe,observar,observer,obsève,observar
obstruction,obstrucción,obstruction,obstakl,obstrução
obtain,obtener,obtenir,obstakl,obter
obvious,obvio,xxx,obstakl,óbvio
occasion,ocasión,occasion,okazyon,ocasião
occupy,ocupar,occuper,okipe,ocupar
occur,ocurrir,xxx,okipe,ocorrer
occurrence,xxx,occurrence,okipe,ocorrência
ocean,océano,océan,oseyan,oceano
odor,olor,odeur,odè,odor
offence,ofensa,xxx,ofans,ofensa
offend,ofender,offenser,ofans,ofender
offer,oferta,offre,ofans,oferecer
office,oficina,xxx,ofans,xxx
officer,xxx,officier,ofisye,xxx
official,oficial,officiel,ofisyèl,oficial
offset,xxx,compenser,offset,xxx
often,xxx,souvent,offset,xxx
oligarchy,oligarquía,oligarchie,oligachi,oligarquia
omission,omisión,omission,omisyon,omissão
opaque,opaco,opaque,opak,opaco
operate,xxx,xxx,opere,operar
operation,operación,opération,operasyon,operação
operator,operador,opérateur,operatè,operador
opinion,opinión,xxx,opinyon,opinião
opium,opio,opium,opyòm,ópio
opportunity,oportunidad,opportunité,opòtinite,oportunidade
oppose,xxx,opposer,opoze,xxx
opposite,opuesto,opposé,opoze,oposto
opposition,oposición,opposition,opozisyon,oposição
optician,óptico,opticien,optik,oculista
optics,óptica,optique,optik,óptica
optimism,optimismo,optimisme,optimis,otimismo
option,opción,option,opsyon,opção
orange,naranja,orange,zoranj,laranja
orchestra,orquesta,orchestre,òkès,orquestra
order,orden,xxx,lòd,ordem
ordinal,ordinal,ordinal,ordinal,ordinal
ordinary,xxx,ordinaire,òdinè,ordinário
organ,órgano,organe,ògàn,órgão
organise,organizar,organiser,òganize,organizar
organism,organismo,organisme,òganis,organismo
organization,organización,organisation,òganizasyon,organização
organize,organizar,organiser,òganize,organizar
orient,orientar,orient,oryante,orientar
orientation,orientación,orientation,oryantasyon,orientação
origin,origen,origine,orijin,origem
original,original,original,orijinal,original
ornament,ornamento,ornement,orneman,ornamento
oval,oval,ovale,oval,oval
overall,xxx,xxx,oval,geral
ovulation,ovulación,ovulation,ovilasyon,ovulação
oxygen,oxígeno,oxygène,oksijèn,oxigênio
pacify,pacificar,pacifier,pasifye,pacificar
package,xxx,xxx,pasifye,pacote
page,página,page,paj,página
paging,paginación,pagination,paging,paginação
paint,pintar,peinture,paging,pintar
palace,palacio,palais,palè,palácio
panel,panel,panneau,panèl,painel
panic,pánico,panique,panik,pânico
paper,papel,papier,papye,papel
papyrus,papiro,papyrus,papiris,papiro
parachute,paracaídas,parachute,parachit,pára-quedas
paradigm,paradigma,paradigme,paradigm,paradigma
paragraph,párrafo,paragraphe,paragraf,parágrafo
parallel,paralelo,parallèle,paralèl,paralelo
paralyze,paralizar,paralyser,paralize,paralisar
parameter,parámetro,paramètre,paramèt,parâmetro
paraphrase,paráfrasis,paraphrase,parafraz,paráfrase
parcel,parcela,xxx,pasèl,parcela
pardon,perdón,pardon,padon,perdão
parent,padre,xxx,paran,xxx
park,parque,parc,pak,parque
part,parte,partie,pati,xxx
participate,participar,participer,patisipe,participar
participation,participación,participation,patisipasyon,participação
participle,participio,participe,patisip,particípio
particle,partícula,particule,patikil,partícula
particular,particular,particulier,patikilye,xxx
partner,pareja,partenaire,patnè,parceiro
passage,xxx,passage,pasaj,passagem
passenger,pasajero,passager,pasaje,passageiro
passive,pasivo,passif,pasif,passiva
past,pasado,passé,sot pase,passado
paste,pasta,xxx,sot pase,xxx
pastry,pasteles,xxx,patisri,xxx
patience,paciencia,patience,pasyans,paciência
patient,paciente,patient,pasyan,paciente
patriotic,patriótico,patriotique,patriyotik,patriótico
pattern,patrón,xxx,patriyotik,xxx
pause,pausa,pause,poz,pausa
pearl,perla,perle,poz,pérola
peculiar,peculiar,particulier,poz,peculiar
penguin,pingüino,xxx,pengwen,pinguim
penny,xxx,penny,pengwen,xxx
people,xxx,personnes,pengwen,xxx
perceive,percibir,percevoir,perseye,perceber
